period,fertilizer,price
2010-01-01,Potassium chloride,389.375
2010-02-01,Potassium chloride,374.375
2010-03-01,Potassium chloride,340.0
2010-04-01,Potassium chloride,340.0
2010-05-01,Potassium chloride,334.5
2010-06-01,Potassium chloride,312.5
2010-07-01,Potassium chloride,312.5
2010-08-01,Potassium chloride,312.5
2010-09-01,Potassium chloride,312.5
2010-10-01,Potassium chloride,312.5
2010-11-01,Potassium chloride,322.5
2010-12-01,Potassium chloride,322.5
2011-01-01,Potassium chloride,322.5
2011-02-01,Potassium chloride,374.375
2011-03-01,Potassium chloride,340.0
2011-04-01,Potassium chloride,340.0
2011-05-01,Potassium chloride,334.5
2011-06-01,Potassium chloride,355.0
2011-07-01,Potassium chloride,442.5
2011-08-01,Potassium chloride,442.5
2011-09-01,Potassium chloride,442.5
2011-10-01,Potassium chloride,435.0
2011-11-01,Potassium chloride,435.0
2011-12-01,Potassium chloride,450.0
2012-01-01,Potassium chloride,495.0
2012-02-01,Potassium chloride,495.0
2012-03-01,Potassium chloride,495.0
2012-04-01,Potassium chloride,477.5
2012-05-01,Potassium chloride,477.5
2012-06-01,Potassium chloride,477.5
2012-07-01,Potassium chloride,279.5
2012-08-01,Potassium chloride,477.5
2012-09-01,Potassium chloride,477.5
2012-10-01,Potassium chloride,477.5
2012-11-01,Potassium chloride,477.5
2012-12-01,Potassium chloride,477.5
2013-01-01,Potassium chloride,395.0
2013-02-01,Potassium chloride,395.0
2013-03-01,Potassium chloride,395.0
2013-04-01,Potassium chloride,395.0
2013-05-01,Potassium chloride,395.0
2013-06-01,Potassium chloride,395.0
2013-07-01,Potassium chloride,395.0
2013-08-01,Potassium chloride,395.0
2013-09-01,Potassium chloride,395.0
2013-10-01,Potassium chloride,395.0
2013-11-01,Potassium chloride,395.0
2013-12-01,Potassium chloride,395.0
2014-01-01,Potassium chloride,395.0
2014-02-01,Potassium chloride,307.625
2014-03-01,Potassium chloride,278.5
2014-04-01,Potassium chloride,299.0
2014-05-01,Potassium chloride,300.875
2014-06-01,Potassium chloride,301.5
2014-07-01,Potassium chloride,279.5
2014-08-01,Potassium chloride,279.5
2014-09-01,Potassium chloride,279.5
2014-10-01,Potassium chloride,279.5
2014-11-01,Potassium chloride,279.5
2014-12-01,Potassium chloride,279.5
2015-01-01,Potassium chloride,279.5
2015-02-01,Potassium chloride,279.5
2015-03-01,Potassium chloride,283.4
2015-04-01,Potassium chloride,299.0
2015-05-01,Potassium chloride,300.875
2015-06-01,Potassium chloride,301.5
2015-07-01,Potassium chloride,301.5
2015-08-01,Potassium chloride,301.5
2015-09-01,Potassium chloride,301.5
2015-10-01,Potassium chloride,301.5
2015-11-01,Potassium chloride,301.5
2015-12-01,Potassium chloride,301.5
2016-01-01,Potassium chloride,301.5
2016-02-01,Potassium chloride,301.5
2016-03-01,Potassium chloride,301.5
2016-04-01,Potassium chloride,301.5
2016-05-01,Potassium chloride,301.5
2016-06-01,Potassium chloride,301.5
2016-07-01,Potassium chloride,282.5
2016-08-01,Potassium chloride,206.5
2016-09-01,Potassium chloride,206.5
2016-10-01,Potassium chloride,206.5
2016-11-01,Potassium chloride,206.5
2016-12-01,Potassium chloride,206.5
